Prop ID,Prompt Dialogue 1 (Thought),Prompt Dialogue 2 (Action),Prompt Dialogue 3 (Action),Prompt Dialogue 4 (Action),etc
id_npc,I really like my co-worker's new {0n}.,You compliment your co-worker on their spiffy new {0n}. They feel thrilled that you noticed.,,,
id_npc,Should I help my co-worker struggling to {0v} a {0n}? Yes!,Your co-worker gladly accepts your help. You {1v} the {0n} and they're very grateful!,,,
id_cat,That cat looks like it wants to be pet.,"You pet the cat. It enjoys it, proceeding to {0v} your hand.",,,
,That looks like a lost {0n}.,You return the {0n} to a grateful owner.,,,
,Every cubicle should have a {0n}.,You generously add a {0n} to every cubicle. It becomes something people can't live without.,,,
,The {0n} looks kind of dirty. I should clean it,Everyone enjoys the sparkling fresh {0n}.,,,
,There's a shortage of {0n}s.,You restock on {0n}s and nobody runs out.,,,
,The office is a little quiet; I shoud change that,"You play music, and everyone is encouraged to come and {0v} you.",,,
,My colleague looks lost. How can I help them?,You tie a {0n} to their cubicle so they can always find it,,,
,I can't believe this poster is covering a hole. I have a solution.,You patch the hole with with several {0n}s. It looks good. Your boss says you're a hole in one.,,,
,"Your co-worker is crazy. He smashed his {0n} in anger, but I'm not afraid to help.",You give your spare {0n} to them. He smiles.,,,
,How can I help someone open a pickle jar?,You use your {0n} to easily remove the lid and get a hi-five.,,,
,Shirley is soaked from the rain. Would a {0n} work to dry her?,You dab Shirley's face and fan her with the {0n}. It seems to work. ,,,
,I'm an expert on {0n}s. I should do a presentation.,You deliver a killer presentation on {0n}s and get a standing ovation.,,,
,The extinguisher isn't working. How can I put out this fire?,You grab the nearest {0n} and smother the fire.,,,
,I could use a {0n} to combat the companies mouse problem.,Who knew mice's weakness was {0n}? You become an office legend.,,,
,There's an easy solution to a cat peeing on all the {0n}. ,You make it rain new {0n} in the office and get constant accolades.,,,
,"Replace the Staples ""that was easy"" button with something more interesting.","You find a button that says ""{0v} Seymour"" when pressed. Your colleagues do.",,,
,This occasion calls for making custom heart candies and passing them out.,"The candy's say, ""{0v} my {0n}"" or ""{1v} my {1n}."" Spiriits are lifted. ",,,
,My co-worker's is neck is stiff. I have a solution to crack it. ,"You bend them over a {0n}, and crack their back. They shake your hand.",,,
,"To help a co-worker stop losing her cat, I could tie a {0n} him.","It's unconventional, but the {0n} is noticeable. The owner approves.",,,
,The office is stuck up by a robber. To bad for them I took {0n}  self defence classes.,You defeat the intruder with your {0n}. Everyone cheers.,,,
,The office needs a paint touch up.,"You paint the office with ""{0v} the {0n} blue"". The office is pleasantly surprised.",,,
,God would want me to replace all the religious symbols in the office with {0n}s.,Your boss thanks you. He hates religion and loves {0n}s.,,,
,I should film a rendition of Air Bud using a {0n} instead of a dog.,The office is surprisinly moved by your Air {0n} film. Turns out a {0n} can play basketball.,,,
,Write a succession of haikus about co-worker's favourite {0n}s.,Your haikus are elegant and surprisingly artistic.,,,
,Bring a lot of bubble wrap and give out {0n}s to pop it with.,"People love popping bubble wrap. The {0n}s thing is weird, but they go with it.",,,
,"Create custom emojis of a {0n}, a {1n} and a {2n} for the office emails.","Everyone digs a fun emoji, and they start turning up everywhere.",,,
